"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2024","2,743.80","2,787.75","2,790.41","2,731.65","","-1.52%"
"10/30/2024","2,786.19","2,775.01","2,790.10","2,770.65","","0.40%"
"10/29/2024","2,775.13","2,743.70","2,775.89","2,739.82","","1.21%"
"10/28/2024","2,741.98","2,734.85","2,746.07","2,724.72","","-0.21%"
"10/25/2024","2,747.69","2,736.10","2,747.97","2,716.97","","0.44%"
"10/24/2024","2,735.70","2,717.99","2,743.38","2,715.72","","0.67%"
"10/23/2024","2,717.54","2,749.52","2,758.53","2,708.79","","-1.12%"
"10/22/2024","2,748.38","2,720.00","2,749.47","2,718.93","","1.06%"
"10/21/2024","2,719.65","2,721.71","2,740.61","2,714.23","","-0.02%"
"10/18/2024","2,720.25","2,692.41","2,722.87","2,691.48","","1.03%"
"10/17/2024","2,692.55","2,674.05","2,696.80","2,673.00","","0.72%"
"10/16/2024","2,673.24","2,663.00","2,685.73","2,658.71","","0.46%"
"10/15/2024","2,660.99","2,651.75","2,669.07","2,638.31","","0.37%"
"10/14/2024","2,651.05","2,657.21","2,666.94","2,643.16","","-0.19%"
"10/11/2024","2,656.00","2,630.80","2,661.55","2,627.65","","1.01%"
"10/10/2024","2,629.48","2,608.14","2,631.63","2,604.15","","0.83%"
"10/09/2024","2,607.77","2,620.19","2,624.65","2,605.18","","-0.54%"
"10/08/2024","2,621.94","2,643.50","2,653.09","2,604.79","","-0.82%"
"10/07/2024","2,643.58","2,651.20","2,659.91","2,637.70","","-0.33%"
"10/04/2024","2,652.25","2,654.39","2,670.15","2,632.00","","-0.14%"
"10/03/2024","2,655.90","2,658.66","2,663.40","2,639.73","","-0.07%"
"10/02/2024","2,657.75","2,661.15","2,663.85","2,641.18","","-0.19%"
"10/01/2024","2,662.82","2,635.41","2,673.20","2,631.98","","1.08%"